"","statecode","countycode","v124_rawvalue"
"351","12","023",1
"352","12","027",1
"353","12","029",0
"354","12","031",0
"355","12","033",0
"356","12","035",1
"357","12","000",NA
"358","12","037",1
"359","12","039",0
"360","12","041",0
"361","12","043",0
"362","12","045",1
"363","12","047",0
"364","12","049",0
"365","12","051",0
"366","12","053",0
"367","12","055",1
"368","12","057",1
"369","12","059",0
"370","12","061",0
"371","12","063",0
"372","12","065",0
"373","12","067",0
"374","12","069",1
"375","12","071",1
"376","12","073",0
"377","12","075",1
"378","12","077",1
"379","12","079",0
"380","12","081",0
"381","12","083",1
"382","12","085",0
"383","12","086",0
"384","12","087",0
"385","12","089",0
"386","12","091",0
"387","12","093",0
"388","12","095",0
"389","12","097",1
"390","12","099",1
"391","12","101",0
"392","12","103",1
"393","12","105",1
"394","12","107",1
"395","12","113",0
"396","12","115",0
"397","12","117",1
"398","12","109",0
"399","12","111",1
"400","12","119",0
"401","12","121",0
"402","12","123",1
"403","12","125",0
"404","12","127",0
"405","12","129",1
"406","12","131",0
"407","12","133",1
"408","13","001",0
"409","13","003",1
"410","13","005",0
"411","13","007",0
"412","13","009",1
"413","13","011",1
"414","13","013",0
"415","13","015",0
"416","13","017",0
"417","13","019",0
"418","13","021",0
"419","13","023",0
"420","13","025",0
"421","13","027",0
"422","13","029",0
"423","13","031",1
"424","13","033",0
"425","13","035",0
"426","13","037",1
"427","13","039",1
"428","13","043",0
"429","13","045",0
"430","13","047",1
"431","13","049",0
"432","13","051",1
"433","13","053",0
"434","13","055",0
"435","13","057",0
"436","13","059",1
"437","13","061",0
"438","13","063",0
"439","13","065",0
"440","13","067",0
"441","13","069",0
"442","13","071",0
"443","13","073",1
"444","13","075",0
"445","13","077",0
"446","13","079",0
"447","13","081",0
"448","13","083",0
"449","13","085",0
"450","13","087",1
"451","13","089",0
"452","13","091",0
"453","13","093",0
"454","13","095",0
"455","13","097",0
"456","13","099",0
"457","13","101",1
"458","13","103",0
"459","13","105",0
"460","13","107",1
"461","13","109",0
"462","13","111",0
"463","13","113",0
"464","13","115",0
"465","13","117",0
"466","13","119",1
"467","13","121",1
"468","13","000",NA
"469","13","123",0
"470","13","125",0
"471","13","127",0
"472","13","129",0
"473","13","131",0
"474","13","133",1
"475","13","135",0
"476","13","137",1
"477","13","139",0
"478","13","141",1
"479","13","143",0
"480","13","145",0
"481","13","147",0
"482","13","149",1
"483","13","151",0
