statecode,countycode,v037_race_white,v037_race_black,v037_race_aian,v037_race_asian,v037_race_nhopi,v037_race_tom,v037_race_hispanic,v037_race_,v037_race_white_cilow,v037_race_black_cilow,v037_race_aian_cilow,v037_race_asian_cilow,v037_race_nhopi_cilow,v037_race_tom_cilow,v037_race_hispanic_cilow,v037_race__cilow,v037_race_white_cihigh,v037_race_black_cihigh,v037_race_aian_cihigh,v037_race_asian_cihigh,v037_race_nhopi_cihigh,v037_race_tom_cihigh,v037_race_hispanic_cihigh,v037_race__cihigh
00,000,0.0697011421995014,0.14501950454424667,0.0834411979744916,0.09048690271798239,0.08806043732962125,0.09164440437963889,0.07706861453718118,0.09893642402400894,0.06956274764747376,0.1446567756255838,0.08217978374153732,0.09003860868212639,0.08594539873194323,0.09091910134380808,0.0768618006986675,0.09773914928357438,0.06983953675152903,0.14538223346290954,0.08470261220744586,0.09093519675383839,0.09017547592729927,0.0923697074154697,0.07727542837569486,0.1001336987644435
01,000,0.07958926088351695,0.16471428079953213,0.12118126272912423,0.09963527851458887,0.11351351351351352,0.10408163265306122,0.07874265369327188,0.17142857142857143,0.07849197052923863,0.16258217316270493,0.10077010126566911,0.0920766811894217,0.08119026120004678,0.09710037494519272,0.07613576446438958,0.09933973734173106,0.08068655123779526,0.16684638843635932,0.14159242419257934,0.10719387583975604,0.14583676582698024,0.11106289036092973,0.08134954292215418,0.2435174055154118
01,001,0.08237431859479104,0.17292576419213973,NA,NA,NA,NA,0.08571428571428572,NA,0.0729966207749961,0.1510201504291754,NA,NA,NA,NA,0.044237545244475415,NA,0.09175201641458598,0.19483137795510405,NA,NA,NA,NA,0.127191026184096,NA
01,003,0.07330295411690761,0.13905486148832155,NA,0.12796208530805686,NA,0.08959537572254335,0.0816743236345074,NA,0.06877496248173778,0.12324929723812439,NA,0.08288838819437377,NA,0.05950150527823815,0.06954658049070044,NA,0.07783094575207744,0.15486042573851871,NA,0.17303578242173995,NA,0.11968924616684855,0.09380206677831436,NA
01,005,0.06030150753768844,0.19728601252609604,NA,NA,NA,NA,0.05639097744360902,NA,0.04120617368833843,0.17208593483353113,NA,NA,NA,NA,0.02866951698116984,NA,0.07939684138703845,0.22248609021866095,NA,NA,NA,NA,0.08411243790604819,NA
01,007,0.08121019108280254,0.17478510028653296,NA,NA,NA,NA,NA,NA,0.06610331723634728,0.13493961759228068,NA,NA,NA,NA,NA,NA,0.0963170649292578,0.21463058298078524,NA,NA,NA,NA,NA,NA
01,009,0.07551127425275302,NA,NA,NA,NA,NA,0.05817174515235457,NA,0.06712590027965437,NA,NA,NA,NA,NA,0.04109797712627046,NA,0.08389664822585166,NA,NA,NA,NA,NA,0.07524551317843868,NA
01,011,NA,0.18618042226487524,NA,NA,NA,NA,0.09580838323353294,NA,NA,0.15275566347638056,NA,NA,NA,NA,0.05116780313056531,NA,NA,0.21960518105336993,NA,NA,NA,NA,0.14044896333650056,NA
01,013,0.0888529886914378,0.17131474103585656,NA,NA,NA,NA,NA,NA,0.06643787249277339,0.14440244464968444,NA,NA,NA,NA,NA,NA,0.11126810489010222,0.19822703742202868,NA,NA,NA,NA,NA,NA
01,015,0.07738392411382926,0.15011655011655012,NA,NA,NA,0.07083333333333333,0.06602254428341385,NA,0.07062790526451794,0.13500056704939797,NA,NA,NA,0.03837575596373127,0.046491539057074246,NA,0.08413994296314058,0.16523253318370226,NA,NA,NA,0.10329091070293539,0.08555354950975345,NA
01,017,0.10236822001527884,0.1693472090823084,NA,NA,NA,NA,0.09651474530831099,NA,0.08594652681909315,0.14673633435531946,NA,NA,NA,NA,0.06654665805751045,NA,0.11878991321146454,0.19195808380929735,NA,NA,NA,NA,0.12648283255911152,NA
01,019,0.07354925775978408,NA,NA,NA,NA,NA,NA,NA,0.060259034290357325,NA,NA,NA,NA,NA,NA,NA,0.08683948122921083,NA,NA,NA,NA,NA,NA,NA
01,021,0.08610830810628994,0.19021739130434784,NA,NA,NA,0.18867924528301888,0.06666666666666667,NA,0.07602440858927254,0.15011765696853324,NA,NA,NA,0.08334332479206145,0.046188484486133566,NA,0.09619220762330735,0.23031712564016243,NA,NA,NA,0.2940151657739763,0.08714484884719977,NA
01,023,0.07543859649122807,0.16,NA,NA,NA,NA,NA,NA,0.05375739611167772,0.12159200083315977,NA,NA,NA,NA,NA,NA,0.09711979687077842,0.19840799916684024,NA,NA,NA,NA,NA,NA
01,025,0.08589607635206786,0.18534031413612564,NA,NA,NA,NA,NA,NA,0.06801125219238377,0.16069539226749727,NA,NA,NA,NA,NA,NA,0.10378090051175196,0.20998523600475402,NA,NA,NA,NA,NA,NA
01,027,0.07451923076923077,0.18064516129032257,NA,NA,NA,NA,NA,NA,0.05667440593494393,0.12007769583923122,NA,NA,NA,NA,NA,NA,0.0923640556035176,0.24121262674141392,NA,NA,NA,NA,NA,NA
01,029,0.08363309352517985,NA,NA,NA,NA,NA,NA,NA,0.06736159853691585,NA,NA,NA,NA,NA,NA,NA,0.09990458851344385,NA,NA,NA,NA,NA,NA,NA
01,031,0.0652327221438646,0.1528117359413203,NA,0.1625,NA,0.12598425196850394,0.07549668874172186,NA,0.05614432158642302,0.12815430987128543,NA,0.08165928083570756,NA,0.06827147515100962,0.056651487345442536,NA,0.07432112270130617,0.17746916201135518,NA,0.24334071916429245,NA,0.18369702878599825,0.09434189013800118,NA
01,033,0.09090909090909091,0.1447178002894356,NA,NA,NA,0.17,0.06060606060606061,NA,0.08121297371861463,0.11848571952812348,NA,NA,NA,0.09637597131370766,0.029835742483054633,NA,0.10060520809956719,0.1709498810507477,NA,NA,NA,0.24362402868629235,0.09137637872906658,NA
01,035,0.08222811671087533,0.1896551724137931,NA,NA,NA,NA,NA,NA,0.054497281992139116,0.151521350633036,NA,NA,NA,NA,NA,NA,0.10995895142961155,0.22778899419455018,NA,NA,NA,NA,NA,NA
01,037,0.0924170616113744,0.16,NA,NA,NA,NA,NA,NA,0.06478463117271459,0.0957311247959014,NA,NA,NA,NA,NA,NA,0.12004949205003422,0.2242688752040986,NA,NA,NA,NA,NA,NA
