"statecode","countycode","v014_race_white","v014_race_white_cilow","v014_race_white_cihigh","v014_race_black","v014_race_black_cilow","v014_race_black_cihigh","v014_race_asian","v014_race_asian_cilow","v014_race_asian_cihigh","v014_race_aian","v014_race_aian_cilow","v014_race_aian_cihigh","v014_race_nhopi","v014_race_nhopi_cilow","v014_race_nhopi_cihigh","v014_race_tom","v014_race_tom_cilow","v014_race_tom_cihigh","v014_race_hispanic","v014_race_hispanic_cilow","v014_race_hispanic_cihigh"
"36","109",3.17622950819672,2.56362714218748,3.8910957317395,4.42869796279894,2.12373281493908,8.14453323384313,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.04286434694907,2.41824946854888,9.27400708119908,4.07569141193595,2.22821842104821,6.83831764827819
"47","099",25,21.7548957251906,28.2451042748094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7868852459016,15.7225858889588,60.2962493180911,27.3972602739726,13.1380512222806,50.3845371014186
"02","130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.2718446601942,11.6392929517778,44.6367865097519,NA,NA,NA
"06","083",2.11763098572307,1.70920151019535,2.59424102341537,NA,NA,NA,1.0739984964021,0.515024024930989,1.97512147374265,NA,NA,NA,NA,NA,NA,3.34518084883964,1.91205988995223,5.43236412242546,31.0120311394197,29.7134619511735,32.3106003276659
"13","069",35.2760736196319,29.8269912402978,40.7251559989661,38.5126162018592,31.5040351779657,45.5211972257527,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.3933649289099,22.7269606451774,87.1580855071932,45.3020134228188,35.9763378043319,56.3062663199827
"19","033",12.399708242159,9.90444653607505,15.3324312646096,49.0196078431373,23.5068073339825,90.1488041275381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.8275862068966,14.7144010764131,39.2382900241765
"42","107",13.6307311028501,12.1084324482839,15.1530297574162,17.0068027210884,8.15542295260618,31.2761157177173,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6513629842181,9.93106526686342,31.8943987348047,39.0486332978346,31.7512767397462,46.345989855923
"42","075",9.3475073313783,8.06477275293769,10.6302419098189,13.2450331125828,6.35150820679793,24.3580874728712,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4670658682635,8.22029995095335,29.4641295109311,38.150289017341,33.5482325800328,42.7523454546493
"56","021",13.6118598382749,11.734714690636,15.4890049859139,24.2718446601942,11.6392929517778,44.6367865097519,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.220172201722,9.41442838413358,28.8925229050868,32.9113924050633,27.5171021734226,38.305682636704
"51","181",NA,NA,NA,22.3713646532438,10.7279389175222,41.1417361118966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
